,TrimPlaceName,Implemented
Lidl,313,LEGAL ISSUES - otherwise simple to implement
ALDI,296,Yes
Waitrose & Partners,285,Yes
EDEKA,283,Yes
REWE,278,Yes
Sainsbury's,259,Yes
Tesco Superstore,241,Yes
Asda,181,Yes
The Co-op,154,Yes
Morrisons,138,Yes
Tesco Extra,119,Yes
Tesco Express,104,Yes
Supermercado,96,Not Possible (this mainly consists of local supermarkets)
Netto Filiale,96,In Progress
Mercadona,86,
Marks & Spencer,86,Yes
PENNY,85,
Kaufland,44,
dm-drogerie markt,42,
Korkmaz Market Darmstadt,42,
Coop,42,Yes
Carrefour,39,
Woolworths,37,
SPAR,36,
Tesco Metro,35,Yes
AH,33,
Sainsbury's Local,33,Yes
E center,22,
Iceland Foods,20,Yes
Akash Chouhan Shop Xerox And Studio And General Store,18,
Tesco,17,Yes
Sainsbury's Petrol Station,17,Yes
DIA,17,
real,17,
Trader Joe's,16,
Budgens,15,
Migros Supermarkt,15,
Coles,14,
Combi,14,
Home Bargains,14,
Esselunga,14,
Londis,13,
Pingo,13,
Supercor,11,
Little Waitrose & Partners,10,?
Walmart,10,
K+K Klaas & Kock B.V. & Co. KG,9,
dm drogerie markt,9,
CONAD,8,
NORMA Filiale,8,
Autoservicio,8,
One Stop,8,
Truck Station,8,
CONAD CITY,7,
SuperValu Donabate - Kane/McCartney's,7,
B&M Home Store,7,
Lebensmittel-Shop,7,
Eroski,7,
Dia,7,
MD Discount,7,
Tesco Esso Express,6,Yes
tegut,6,
MASKOM,6,
Bonpreu,6,
Proxy Glazen Huis,6,
Bennet,6,
Netto,6,
Action,6,
Caprabo,6,
METRO,6,
MONOPRIX,5,
Condis,5,
Netto City Filiale,5,
CondisLife,5,
Landmetzgerei Kruse,5,
Costcutter,5,
denn's Biomarkt,5,
bonÀrea,5,
Supermarket BILLA,5,
La Anónima,5,
Salamanca Fresh,5,
Midcounties Co-operative Food,5,
Alcampo,4,
EROSKI,4,
EuroShop,4,
iN's Mercato,4,
Autoservizos Familia,4,
Tesco Pharmacy,4,Yes
BWS Huonville,4,
Eurospin,4,
Supeco,4,
E xpress,4,
Supercor Exprés,4,
Eroski Center,4,
Loblaws,4,
Sun Express,4,
Multi Shop,4,
Jumbo,4,
Carulla SmartMarket,3,
Marktkauf,3,
Eroski City,3,
Metzgerei Roland Klingenstein,3,
SuperBioMarkt AG,3,
Coviran,3,
Hy-Vee,3,
Consum,3,
Klaus-Dieter John retail oHG,3,
The Food Warehouse by Iceland,3,
Tesco Direct Click and Collect,3,Yes
Kroger,3,
BWS Darwin City,3,
Lewiatan,3,
Sainsbury's Café,3,
Whole Foods Market,3,
Martin's Food,3,
B&M Store,3,
TEDi,3,
Expa Supermarkets London,3,
CAP-Markt,3,
Penny Market,3,
ROSSMANN Drogeriemarkt,3,
Harris Farm Markets Lindfield,3,
E-Center Dumke,3,
Costco Wholesale,3,
Denner Discount,3,
Penny,3,
ARD Discount,3,
Simply City,3,
Boots,2,
Udaco,2,
P E Mead & Sons Farmshop,2,
Martin's,2,
Alcampo City,2,
Casino supermarché,2,
"Booths, Longton",2,
KiK Röbel,2,
Mood Food Huonville,2,
Alimerka,2,
schmidgärtnerei,2,
Migros,2,
Group ALDI SÜD,2,
Mercadona Street Gabilondo,2,
E aktiv markt Borsch,2,
Sprouts Farmers Market,2,
City Road Supermarket,2,
Reliance Fresh,2,
Stop & Shop,2,
Auchan,2,
Tchibo im Supermarkt,2,
Vivanda Dos De Mayo,2,
بقالة سعود,2,
HIT Handelsgruppe GmbH & Co. KG,2,
Denner Express,2,
Supermercats Consum,2,
Eroski Sóller,2,
S&S Greengrocer Ltd,2,
Unverpackt Darmstadt,2,
Argos Kempshott in Sainsburys,2,
Plaza Vea Piura,2,
Gadis,2,
The Natural Grocery Store,2,
EROSKI CITY,2,
K D N Traders,2,
Condis Express,2,
Caltex - Huonville,2,
Centro Comercial Alcampo Ferrol,2,
wilko,2,
Sobeys Fundy Trail Mall,2,
Aro,2,
Witney Argos in Sainsburys,2,
Auchan SUPERMARCHE CHATILLON,2,
SuperValu,2,
MA Supermercati,2,
Alnatura Super Natur Markt,2,
Supermarket FRESH,2,
IGA Lindfield,2,
BioMarkt Vaterstetten,2,
Supermarket diana,2,
Morrisons Pharmacy,2,
BioMarkt Naturata,2,
CSantos Vp,2,
Delhaize Proxy,2,
NP-Markt Hannover - Ricklingen,2,
Savemore Market,2,
Publix Super Market at Doral Park Shopping Center,2,
Costco Farnborough,2,
IGA plus liquor Collins st,2,
Schenke Delikatessen,2,
Alì supermercati,2,
Extra Hipermercado - Brasilia Norte,2,
Primaprix,2,
Supermercati Pratocarni,2,
Mas y mas,2,
Frutaria Banamadeira - Levada do Cavalo,2,
The Midcounties Co-operative,2,
PENNY Market,2,
Zehrs,2,
Dunnes Stores - Westside,2,
McColl's,2,
Prix Quality,2,
Dona de Casa,2,
Balbinka Polish Food,2,
masymas,2,
MONOPRIX SOLDAT LABOUREUR,2,
A'Lela Frutería,2,
"Minimercado ""Lo de Leo"".",2,
MExpress,2,
E aktiv Wust,2,
Jula,2,
Supermercat DIA - Esplugues de Llobregat,2,
John's Marketplace,2,
Saveurs Campagnardes Magasin de producteurs,2,
Simmel Markt Gera,1,
Museo del Jamón Alcorcón,1,
Mandarin Supermarket,1,
Intermarché EXPRESS Issy-Les-Moulineaux,1,
BEKEM's food store,1,
Egg Stores Ltd,1,
CONAD SUPERSTORE,1,
Loon Fung Stratford,1,
NU Grocery,1,
Riba Smith Transístmica,1,
Delhaize Chazal,1,
Hangzhou Markt,1,
CENTERSHOP Nettetal-Kaldenkirchen,1,
Farmfoods Ltd,1,
マルエツ 東新小岩店,1,
"Erdal Tutal Obst, Gemüse",1,
Son Market,1,
Modelo Continente Vila Franca de Xira,1,
Kent Union Co-Op,1,
Safeway,1,
Keimling,1,
اسواق ومخابز روضة الياسمين,1,
Morrisons Garden Centre,1,
OXXO Fourth Avenue,1,
TESCO MOBILE,1,Yes?
Auchan MONTGERON VIGNEUX,1,
Veritas,1,
PENNY-Markt Discounter,1,
Cigarreria Delikatessen,1,
Hiperber,1,
Pewex,1,
Better Food,1,
Dia Plaza,1,
Alimentacion Villabrasil,1,
Raiffeisen-Markt Ratzeburg,1,
Fleischerei M. Hebestadt,1,
京急ストア 糀谷店,1,
Geibel Obstbau,1,
Condis Life,1,
Iceland,1,Yes
Agromart Balear Portals Nous,1,
Naschmarkt,1,
Corporación Compostelar,1,
t a s t e . .,1,
Your Local,1,
Nana Biosupermercats Vic,1,
Día,1,
BUDNI Drogeriemarkt,1,
OBI Oelde,1,
Korschan KG,1,
Dona de Casa Market,1,
Hiper Usera S.L.,1,
"LuLu Hypermarket, Hilal",1,
Delteys,1,
Ekoplaza Stratumsedijk,1,
Solemarket Simion George Luigino and Gelindo S.A.S.,1,
Food El Arco S.A.,1,
Presto Food & Wine,1,
Supermor,1,
SpiceBoat,1,
Pam,1,
BM,1,
Drink and Food Minimarkt # Liquider Dortmund #CBD#Kiosk # Getränkemarkt # Candy Shop #Tabak,1,
Giant supermarket,1,
Cactus Marché,1,
Tesco Lotus express,1,Yes?
Costco Thurrock,1,
Intermarché Palumbo,1,
Mini Market Pan,1,
V-Markt,1,
E.Leclerc Montargis,1,
Pets at Home Kingsteignton (Newton Abbot),1,
VIVA Supermarket,1,
Wochenmarkt,1,
Slnečnice Market,1,
Robson Stores Greenfields Ltd,1,
Chedraui City Labor,1,
Metro,1,
Markant Supermarkt Ulrichs,1,
Óptima (Antiguo Proxi),1,
Wong,1,
أسواق فتح الله للجملة,1,
Shivam Super shoppy,1,
Schlesische Spezialitäten,1,
Gökmar,1,
Budgens in Woodford,1,
Aumiller,1,
AB Vassilopoulos,1,
Conad Nomentana,1,
Netto Markt,1,
Harris Teeter,1,
Frute and vegetables punjabi,1,
The Old Piggery Farm Shop and Tearoom,1,
Pam Milano Strigelli,1,
The Palmas Market,1,
Supero Supermercati Sma,1,
Fresh,1,
Multitienda 24 Horas,1,
Sole365,1,
Käsehaus,1,
Globus Rostock-Roggentin,1,
Carbonicas Masquefina,1,
Esperance Boulevard,1,
Lakeshore valu-mart,1,
Supermulti Store,1,
Tesco Phone Shop,1,
Saudi Market,1,
CENTERSHOP Kirn,1,
Alsuper El León,1,
Carulla Calle 63,1,
DIALPRIX,1,
Tam Asia,1,
"East of England Co-Op Foodstore, Eye",1,
BWS Esperance,1,
Ichiban,1,
PLUS van Gurp,1,
RWG Osthannover eG - Raiffeisen-Markt Edemissen,1,
La Vaquita Los Balsos supermarket,1,
Garrys Greengrocers,1,
Coviran El Bosque,1,
Booths Supermarket,1,
Heath End Road Stores,1,
Winter Spring Food Market,1,
La Gran Bodega Sucursal Reforma,1,
Marshalls,1,
Gellatly Supermarket,1,
Continente Bom Dia Maia,1,
Nuevo Super 3,1,
Alsuper El Reliz,1,
Dpiù,1,
Shoprite Ikeja City Mall,1,
Sonja Zehler,1,
Suma,1,
Marktkauf Scheck-in Center,1,
Penge Food Centre,1,
Spanischer Garten,1,
Mi Alcampo- Supermarket,1,
Supermarkets Becerra Local 10,1,
Loulé Marktparkplatz,1,
Continente Modelo Viveiros,1,
xKorkmaz Market Darmstadt,1,
MOLDOVA,1,
Penny market,1,
Maxi Cash Valencia,1,
Lebensmittelmarkt Jansen Helge,1,
plazaVea super Magdalena,1,
Dorfladen Freckenfeld,1,
Kaufmarkt Sonthofen,1,
Rossmann,1,
MARGHERITA CONAD,1,
Tigros di Caronno Pertusella,1,
Continente Telheiras,1,
La Casa del Jamón,1,
Maik Halecker,1,
Chuanglee Cash & Carry Ltd,1,
"Booths, Hale Barns",1,
The Midcounties Co-operative Food,1,
Marktkauf Hannover,1,
Arpico Super Centre,1,
Market America,1,
Fleischereifachgeschäft Middendorf,1,
Scheck-In Center Mainz,1,
Dulwich Grocer,1,
Station-Service Shell,1,
C7 SUPERMERCATI MELVIN JONES,1,
Schmidt's markets Wehr GmbH,1,
Almin,1,
Super Kosher,1,
Milchtankstelle Hof Keppelhoff,1,
famila Neustadt in Holstein,1,
Hannaford Supermarket,1,
Mint Markt,1,
miscelanea la morena,1,
Mini Mercado Verdadeiro,1,
Melbourn Stores,1,
FD Alimentari - Fratelli Ferdico,1,
Boni-Center,1,
Tesco Scan As You Shop,1,
Konsum Leipzig,1,
Mix Markt,1,
Hiper Gadis,1,
Morrisons Cafe,1,
IGA The Fresh Pantry,1,
Tani Sklep,1,
Daiso,1,
Seabra's Market,1,
CHEDRAUI UPAEP PUEBLA,1,
Öz Vatan Supermarkt,1,
Asian City Asian Supermarket 萬佳超級市場,1,
Big C - Tiwanon,1,
Vegan & mehr,1,
Cargills Food City Weliwita,1,
expert Neustadt,1,
Oxford Supermarket,1,
Network Multi Market,1,
Calimax,1,
Mercado Soriana Bosques,1,
Tigros di Ispra,1,
Hai Na,1,
Fleischerei Hemmerling,1,
Globus-Apotheke,1,
Supermarket Sun 365,1,
Shoppers Fair Supermarket,1,
Jumbo 170 Street,1,
Mercearia da Eira,1,
Continente Modelo São Martinho,1,
Pollos a'last Ca La Toñi,1,
Cargills Food City - Staple Place,1,
Jawoll,1,
Sidis,1,
206 Farmers Market Inc,1,
Intermarché EXPRESS Verrières le Buisson,1,
LD Market Torricella Verzate,1,
Waldo's Pabellon Reforma,1,
Meyer’s Frischecenter,1,
Netto Deutschland - schwarz-gelber Discounter mit dem Scottie,1,
Wegmans,1,
Shang Hai Market,1,
BM supermerkatuak,1,
E active market Meyer,1,
Giant Tiger,1,
E-Center Schenke Schildesche,1,
"Novavenda Júlia, S.L.",1,
سوبر ماركت ليل ونهار ١,1,
JCH,1,
OBI Niebüll,1,
Kodi Mönchengladbach,1,
Continente Bom Dia Braga Oficina São José,1,
Action Nottuln,1,
Devoto Fresh Market Carrasco,1,
Keisy,1,
Dodenhof Posthausen - GenießerWelt,1,
China Town Shirley,1,
Piccadilly English Shop,1,
Supersol,1,
Supermarket Union - Jaragua,1,
Crai Di Cormons di Quarin Trade,1,
Reynolds Supermarket,1,
Zagros Food Centre,1,
Lider Rancagua(Einstein),1,
basic Bio-Supermarkt,1,
Moja Samoška,1,
Eredi Di Budassi Pietro Di Budassi Enrico & C. Snc,1,
Dia Market,1,
B&M Home Store with Garden Centre,1,
MD Spa,1,
Dornseifers Frischemarkt Solingen,1,
Conad City - Supermarket,1,
Cellarbrations,1,
KiK Wittingen,1,
El Viejo Almacén SRL,1,
La Hacienda Meat Center,1,
E Aktiv,1,
L. STROETMANN Großmärkte GmbH & Co KG,1,
St Marys Supermarket,1,
DÍA,1,
Central Madeirense,1,
famila Heiligenhafen,1,
Keells - Thalawathugoda,1,
Hiper Froiz,1,
Marktkauf Bielefeld-Gadderbaum,1,
Sathyam Supermarket,1,
Target Grocery,1,
Despensa Rosita,1,
E-Center Struve Eppendorf,1,
Little Britain Supermarket,1,
Fancy Kirana Grains and General Store Kalikhaber,1,
Supermarket Candy S.A.C.,1,
Sainsbury's Cafe,1,
"Galeria Comercial ""El Carrascal""",1,
Family Dollar,1,
Vollmer-Smit KG,1,
Zapolski,1,
Super Rede,1,
Simply Market,1,
Kaufhaus Schulz oHG,1,
Ekom,1,
سوبر ماركت البطل,1,
Novo Super - Hospital,1,
Express Shopping,1,
Mercado Benalua,1,
Big C Supercenter Wong Sawang,1,
Hidro Tàrraco,1,
Assaí Atacadista,1,
KiK Glückstadt,1,
Marché Tradition - The Main,1,
Chedraui,1,
Metro Express Quintanas,1,
Polski Sklep Zubr,1,
Bäckerei Konditorei Zängerle,1,
Shoprite Nyali City Mall,1,
"Booths, Garstang",1,
Hit,1,
Super Plus Food Store,1,
فتح الله جمله ماركت,1,
Super Beta,1,
Bon Preu Pallejà (Seur),1,
AEZ,1,
Neukauf Borgmann GmbH,1,
Heinrich Voß Getränkegroßhandel,1,
Tesco Grocery Click & Collect,1,
Shawmut Grocery Store,1,
Marco Wenzel,1,
Supermarket Pieri,1,
Pick n Pay Bedford Centre,1,
Alcampo Paseo de la Esperanza,1,
Noor Shopping نور للتسوق,1,
Norzais Kiosk,1,
HEMA,1,
K & K,1,
Safa Express Whats App 056 - 54 - 999 - 72 HOME DELIVERY,1,
Essentials Convenience Store,1,
Cargills Food City - Maradana,1,
Warszawa Supermarket,1,
Minipreço Express,1,
Franprix,1,
ماركت التوءمان,1,
Naivas Supermarket - Nyali,1,
International Foods Ltd,1,
ซุปเปอร์ชิป,1,
Idil Market,1,
Müller,1,
City ​​Gross,1,
Frischemarkt am Blücherplatz,1,
basic,1,
El Mercadito 14,1,
Condis Alimentacio Aranas,1,
Wonnentäler Bauernladen,1,
East of England Co-op Foodstore,1,
GAMMA Heerlen Woonboulevard,1,
Imkerei Hollibienen,1,
Bäckerei und Cafe Mellies,1,
Leclerc Trujillo,1,
KiK Eberbach,1,
Food Lion,1,
Terno,1,
Le Dépanneur,1,
Alphamega Kiti,1,
Velavan Store,1,
Σκλαβενίτης,1,
Metcalfe A & M,1,
HERKULES,1,
Mercadona (Puerta C.Benlloch),1,
Spinneys Hypermarket,1,
Premier Store,1,
Symphony Market / Halal / postmate,1,
TESCO Extra,1,
Der Wolfsbarsch,1,
Devoto Fresh Market Malvín,1,
TU TREBOL Adeje,1,
D1 Store,1,
Bodega Aurrera Express Camino Real A Puebla,1,
"Carrer de Sant Antoni Maria Claret, 18, 20",1,
Alhayat Grocery,1,
Devoto,1,
SuperSol,1,
Chinatower,1,
Backstube Fischer,1,
Alimentari Barca,1,
Ferro Markt Russische und Osteuropäische Spezialitäten,1,
Metro Canto Rey,1,
Wochenmarkt Kaiserslautern,1,
Supermarket Zadk,1,
KIK Modemarkt,1,
Grocery Store PENNY,1,
Maxi Palí Masaya,1,
proxim,1,
OBI Markt Ansbach,1,
Wa Jou Liquor Store,1,
"Kourtidis, E., & Co. O.E. ""Estia""",1,
Herkules E-Center,1,
Marbella Farmers Market,1,
Boeler Kiosk,1,
"The Range, Ballymena",1,
Karadeniz Supermarkt,1,
Cherry Valley Marketplace,1,
Market Mecca: Light Street - along Abasiry,1,
Frutas Madrid by el Abuelo Pedro,1,
Tienda Chinos De Todo,1,
Punto Venta Sabropan,1,
POTRAVINY DOMA Bakoš Dušan,1,
Asia-Shop Mai,1,
Fathalla Market,1,
Metro Piura Plaza del Sol,1,
IperDem | Prenatal Tuscolana,1,
Supamart IGA Lindfield,1,
Pão de Açúcar,1,
Frischmarkt Gellersen e.K.,1,
Natural Grocers,1,
Paiz Montufar Superstore,1,
Super Express 24h,1,
Dok Supermercati,1,
Bargain Booze,1,
KiK Malchin,1,
Markant Markt Röbel,1,
METRO GASTRO,1,
OBI Schwelm,1,
أسواق التحرير,1,
Coviran jovecase,1,
Schmidt Handelsgesellschaft mbH & Co.KG,1,
kupsch-Markt Kühhirt,1,
Dona de Casa Supermarket,1,
Provigo,1,
Autoservice Lo De Vivi,1,
Fruteria Tenreiro,1,
Quality Save,1,
Eurospesa Supermercati,1,
Super U et drive,1,
Lawson Uozukamimuraki Shop,1,
Billa supermarket,1,
Metro San Felipe,1,
IGA,1,
Groente en Fruit specialist Gijs van de Hoef,1,
Tathra Supermarket,1,
FairPrice Serangoon North Ave 1,1,
Monoprix,1,
Mercadito la Sagra SL,1,
Maxi,1,
Minimarkt,1,
Iqbro Halal Grocers,1,
Supermarket Frios,1,
TMC Bangsar,1,
Minipreço,1,
Satyam Stores Family Supermarket,1,
Micro Macro,1,
EuroSpin,1,
Panificio F.Lli Foglio Di Foglio Domenico Emanuele E C. Snc,1,
Fa Yang,1,
CENTERSHOP Rüthen,1,
Heron Foods,1,
Tesco Expres,1,
denn's Biomarkt Bochum,1,
大阪屋ショップ サンプラザ店,1,
Hak Verdi Supermarkt Sindelfingen,1,
Poundstretcher,1,
COSTCUTTER,1,
BJ's Wholesale Club,1,
Off Licence Costcutter,1,
Oscar Market,1,
Nacional Supermarket - Lope de Vega,1,
French's IGA Xpress Glen Waverley,1,
Simply,1,
NP,1,
Winlan Super City,1,
Co.Op Food,1,
Giant Food,1,
Supermaxi Cumbaya,1,
MOLSA Tot Bio,1,
Scheck-in Center,1,
Eurogida,1,
MASS MAYOLO 17,1,
The Green Supermarket,1,
Your Fresh Market Jansen,1,
Keisy Supermercat,1,
